,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,allmpnet,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,63.58961736990443,60.66490453885996,64.6127152638815,65.10496141667302,79.13714307677766,83.07249384367437,80.86013555225054,71.00599586600306
1,allmpnet,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,71.61475747570536,76.4894850618282,76.21847797671758,83.28226986328728,82.8898670727876,83.81910077824213,83.87743368220809,79.74162741582518
2,allmpnet,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,70.29431960658654,77.57405995222574,74.50540919309373,82.73725499999985,81.12687593846172,80.93447976537793,82.45394066093642,78.51804858809741
3,allmpnet,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,70.48569453064802,74.73453623597074,75.67995617544003,81.6912418573636,82.68505669079855,84.2816312779035,84.08138962869117,79.09135805668794
4,allmpnet,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,71.3019884231322,77.35496940262351,75.76021388686748,83.26028544010778,82.55152617208749,82.64271232853947,84.17939893029629,79.5787277976649
5,allmpnet,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,69.79053662160356,75.24808513701232,74.56015133779665,81.33306291113549,80.85561353357636,83.0906695255051,83.46633456176346,78.33492194691328
6,allmpnet,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,"torch.Size([63, 2304])",12,0,,NORMAL,70.89792932625689,76.3093651499149,75.76915480511212,82.56654737854964,82.32893871027308,83.49729099103617,84.35113980635623,79.38862373821414
