Task,Acc (Mean ± Std)
MR,0.8310 ± 0.0020
CR,0.8758 ± 0.0015
SUBJ,0.9529 ± 0.0012
MPQA,0.8898 ± 0.0026
SST2,0.8752 ± 0.0015
TREC,0.9428 ± 0.0055
MRPC,0.7324 ± 0.0027
NLI,0.6005 ± 0.0021
