,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.008366169820258522,0.010957921885031155,0.005237635697108566,0.009776013679651264,0.016505497001738003,0.029323183488378955,0.02624280782530603,0.01643504197243555,0.011685992147384135,0.015926192190624255,0.02693594096995936,0.023530760018426723
CR,0.01073939596357531,0.004637181143994833,0.004341050759255806,0.004939321967513125,0.0053484095160300435,0.006630969435667825,0.0035583518631839024,0.002564999638610622,0.008111912587237001,0.008869685733094906,0.009163057611686376,0.008196877684957783
SUBJ,0.030955078300397447,0.02114602702956656,0.002297776296070996,0.005279464331392205,0.003389279917941689,0.008688135855183438,0.025007805398169995,0.023699405727158722,0.038766209260906,0.0448625349712674,0.057093359640172196,0.05848937576764338
MPQA,0.04803819996359516,0.037811494600510136,0.015744691217478294,0.004978893874496118,0.0019126038009339194,0.004916138408526186,0.005315994879735326,0.002779594962165749,0.016214637433881518,0.01546548217301105,0.018049716611896652,0.010792983623269317
SST2,0.014320545340919416,0.011264824539208745,0.0032786236278799685,0.0046585282393788365,0.02348039116161314,0.0036574617363606178,0.008262257456242414,0.029104299181174402,0.02274811798515693,0.02000167917439937,0.005391902396378508,0.01952391942774581
TREC,0.027299667558545408,0.028768908416821948,0.023980811672975836,0.01967479686989029,0.01994546150331212,0.024496921122481016,0.03340712328692999,0.0349329248422597,0.04081546949697357,0.03960314427466715,0.04126154405934564,0.035317225724149325
MRPC,0.013416803273424911,0.018195328040108674,0.018314813606927435,0.019479883879635937,0.024083404453206784,0.02482426389417387,0.025604264922657625,0.01998565613964089,0.015749975268108625,0.01720813885619816,0.019967281427709326,0.01820779463632989
NLI,0.006577250771327807,0.01573241107307373,0.04542608566954778,0.01942293319270453,0.0892152731911869,0.02682718777655329,0.008619560530474727,0.023581099238529538,0.005024286174617198,0.03557333283748014,0.02869384109561061,0.029649675601724667
