,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.018166735013948075,0.023884031325090684,0.0034954600889152603,0.014502167817955382,0.017491949020207086,0.03909683161823429,0.033388201788386224,0.024910143851369068,0.01615302758305827,0.02377931683609503,0.045824989965572195,0.03520570152311014
CR,0.006472412201271698,0.010660997403745298,0.0075185555005690685,0.005343118844912012,0.0030185995122816965,0.006252118780729486,0.0028984388614348364,0.002748110945446541,0.027952385143229713,0.03346252667269671,0.03333676537783206,0.03324689123275358
SUBJ,0.015499244799665557,0.010934962478532522,0.005824008245103795,0.0069785268369303415,0.005701875900090241,0.00548850450175467,0.0189104490195739,0.020581041258292583,0.03340170649957988,0.037003905409275645,0.046921012885305174,0.04551357287380654
MPQA,0.030508978061694895,0.02113656052627328,0.007667540512931474,0.005937198796741431,0.004635307871522124,0.004134312220983954,0.005273815396272632,0.0016421136024383906,0.010220476260414788,0.009932059071199876,0.012519436837229558,0.009623623472087145
SST2,0.07016423433057277,0.020280284047222204,0.03653425084711845,0.03137750114262388,0.06568275338010024,0.05395125623289041,0.03854363027293241,0.08377116418335383,0.04788708036614742,0.027567825841613106,0.010001992825231603,0.043421460938611094
TREC,0.01381463418877836,0.012414997755333399,0.008940035013774258,0.0038208695694867192,0.005529429701809868,0.008975998964500126,0.014125256125402195,0.014463836127286897,0.01825893524947724,0.017535651932518367,0.018227909941391503,0.015969731527501304
MRPC,0.008729850254529907,0.01482841455045269,0.015173019006201969,0.027447596387141403,0.03582263532680667,0.03864673133444316,0.03755471264894768,0.03565140134164014,0.029817949896179387,0.03216428436526516,0.03867957446220994,0.03764759494386759
NLI,0.016077212622517236,0.005916631777992506,0.021501299453333185,0.009994754904366446,0.030852768980617576,0.00670307188776548,0.005417275446255918,0.006325682771551404,0.0062513598233008335,0.010974453469167764,0.013412670445551559,0.017050265358103316
