Task,Acc (Mean ± Std)
MR,0.8346 ± 0.0025
CR,0.8718 ± 0.0048
SUBJ,0.9523 ± 0.0013
MPQA,0.8898 ± 0.0011
SST2,0.8722 ± 0.0046
TREC,0.9420 ± 0.0038
MRPC,0.7308 ± 0.0037
NLI,0.6001 ± 0.0030
