,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,deberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,11.790841103553706,-1.142579704755293,0.4718402948694242,11.493924944139236,11.526864349916625,27.873744080585688,50.591931136949654,16.086652315037007
1,deberta-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,55.59580943125619,54.756919772172054,61.18425151138401,69.21200439781195,62.59483210055045,73.14678452217423,84.52541814232744,65.85943141109662
2,deberta-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,55.54372531003901,55.57704987699117,61.55597563962697,69.66451587678334,62.8513460748283,72.76260877823113,84.00973527480201,65.99499383304314
3,deberta-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,55.53576896069341,53.9868921277325,60.78855416118628,69.06723680387536,62.42657741929525,73.40409627870498,84.63223448638266,65.69162289112434
4,deberta-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,55.60054378004591,55.125447989192935,61.407677470318646,69.50438788530995,62.786036554747646,71.92608884585144,84.64128706267952,65.855924226878
5,deberta-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,54.94339243864729,54.381151742862876,60.984178736035666,68.68096941736904,61.406858059501715,72.95732754945024,84.16702782415473,65.36012939543164
6,deberta-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,"torch.Size([63, 2304])",12,0,,NORMAL,55.35374838079507,54.566479936498865,61.13578212348191,69.1301395506122,62.19885767980309,72.11963341823436,84.70193604042406,65.60093958997851
