,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,deberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,21.517000414808457,5.094163666279857,8.118447578432823,20.859816195590437,24.241404159469234,29.275491580591464,52.40386656807726,23.07288430903565
1,deberta-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,56.00260666083644,55.34261997677579,60.21570693085921,70.1377746239604,64.37220363787837,72.67563503128834,78.66202254428897,65.34408134369822
2,deberta-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,"torch.Size([63, 768])",12,0,,NORMAL,55.5435681368877,56.17598503822148,60.54019563868699,70.60467309674169,64.82859144903286,72.48741198137544,78.06161992292469,65.46314932341012
3,deberta-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,55.83796342249205,54.5596608151798,59.924442850065475,70.04369032321073,64.11626151432566,72.87724410607315,78.74790140465217,65.15816634799985
4,deberta-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,55.72077624453444,55.74166238542612,60.40824280634478,70.4283254538996,64.69450274401322,71.7287661916988,78.66341441123048,65.34081289102106
5,deberta-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,"torch.Size([63, 1536])",12,0,,NORMAL,55.13681450914484,54.92107847490802,60.05956341493356,69.90375452235794,64.09947524235713,72.61139855924014,78.16969116193869,64.98596798355433
6,deberta-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,"torch.Size([63, 2304])",12,0,,NORMAL,55.538316407307384,55.11105602088312,60.21396464683525,70.1445080510794,64.39090593131588,71.8820338399525,78.73475123973309,65.14507659101524
