Task,Acc (Mean ± Std)
MR,0.8803 ± 0.0006
CR,0.9078 ± 0.0029
SUBJ,0.9536 ± 0.0002
MPQA,0.9025 ± 0.0026
SST2,0.9174 ± 0.0028
TREC,0.9540 ± 0.0013
MRPC,0.7908 ± 0.0052
NLI,0.7351 ± 0.0023
