,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0006281164093530022,0.0005902933755568583,0.0006166819232771808,0.000888324316059752,0.0009090152528904937,0.0011801020392873559,0.0011318914080026058,0.0013270891398726474,0.0012270511625674242,0.012471415403359888,0.006154920257253205,0.002354980585108035
CR,0.0036372895117992962,0.0037216196687783337,0.0036611040692787027,0.0036300101357336677,0.004745972414648925,0.0070568175610619555,0.004547734060558378,0.00952531925353542,0.009288716617499708,0.017512350837420695,0.0037403542832413613,0.004397883618755153
SUBJ,0.0018363986213412698,0.0018737187924726443,0.0019435473762205132,0.0017753131712396314,0.0023962820520519487,0.002595248272162782,0.002146243128686999,0.00478765601964372,0.004032462511474525,0.005688734276466031,0.0019280524519067596,0.0031494623030074004
MPQA,0.004378952563442272,0.004920330928723278,0.0073448377278996,0.006057296625248812,0.0032388183561074956,0.0046896081423107765,0.021994844311833284,0.021336477442787345,0.0053002377439253755,0.00454019547933898,0.007343514835841899,0.006581033268448283
SST2,0.003843681099935824,0.0005130464606976629,0.0006478666264316887,0.001559600895620446,0.0011960115391412324,0.001954319145919319,0.0030564959822110727,0.007547380512946946,0.012105215100650765,0.029804550817154885,0.0043636075128329795,0.004728335523637215
TREC,0.0028147908945975702,0.0030038749060643855,0.003297403606375825,0.004944257389191738,0.0007880205685041399,0.005818738601069207,0.008361362014140733,0.010334279705562032,0.0031060366697667763,0.002674968675378512,0.0029655668120019446,0.0032260465719751285
MRPC,0.004451240897337694,0.004456469420717219,0.0055955059069391945,0.005553303656482527,0.005344008296353533,0.005762041394578912,0.0056530704666240255,0.0038318586333475862,0.0034520922037127666,0.008819509931760646,0.010739229057413936,0.010077237650529248
NLI,0.0008128540224386806,0.0007874725193268243,0.0006949459531793552,0.0006522401372265937,0.0006487029809587321,0.0006185542595211736,0.000662173360289364,0.0010234148070477566,0.0018280819174839667,0.020600721459084807,0.044821529271092696,0.016707409584664417
