Task,Acc (Mean ± Std)
MR,0.8472 ± 0.0007
CR,0.8938 ± 0.0026
SUBJ,0.9526 ± 0.0016
MPQA,0.8780 ± 0.0026
SST2,0.8927 ± 0.0026
TREC,0.9368 ± 0.0027
MRPC,0.7609 ± 0.0029
NLI,0.6153 ± 0.0038
