,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.012063939685416861,0.022222326570370803,0.020610963113911175,0.01584823788647866,0.007694753992398496,0.014354951851047237,0.029368970746451378,0.03240470852640934,0.024356575007989385,0.021402999536914196,0.014978062653379203,0.016276411550537308
CR,0.011345645559759381,0.011154866729776027,0.008670052057726387,0.007598861986835968,0.01090387291025047,0.01747062278735902,0.01951685341867405,0.01871627183361058,0.016896874264982674,0.015764166332902577,0.01597601097856189,0.01600152419829035
SUBJ,0.0099250859842334,0.009272280192588817,0.0053252864100724745,0.005402063836480099,0.01264192189939502,0.019248877928519127,0.03396138286953198,0.030506328665776412,0.03270271100674474,0.03240437844160572,0.03333106355774576,0.04294952097016798
MPQA,0.024217301502436624,0.01692352071036387,0.0059303149630482305,0.008396021654032007,0.012829943536122818,0.028070985349389302,0.03236968740289556,0.025443276734780446,0.017280250434721565,0.018584361871551155,0.012706298866178573,0.015049725295676494
SST2,0.03872382508847683,0.04192742450022961,0.028102648940159576,0.06608254880697977,0.06600471246293654,0.03804797976603461,0.08923129813432874,0.010560391142188522,0.010168568933622052,0.037540355793043934,0.07575205702346968,0.024860934026530973
TREC,0.00828435286351576,0.007092240401235157,0.007157354869157246,0.006920723305634599,0.007605018630512373,0.008268186509910689,0.008547851213777071,0.009023746638090682,0.009469661680484536,0.00988219354660521,0.008502933352895904,0.008772191169761547
MRPC,0.010704595126779909,0.01560069104882549,0.009669755312906668,0.017719986336481648,0.01725976516358032,0.01836255720602385,0.021969445395041153,0.020880628072663086,0.02078687305141464,0.023145349080290586,0.02827774391019484,0.032188349213000345
NLI,0.013370681704647162,0.013702886416456067,0.0410383329828251,0.14789971964651133,0.06826100643655392,0.02767075699514491,0.025209122643422274,0.07071925044849026,0.037264812136338074,0.048655959896189774,0.17959402285703469,0.03783573755303357
