Task,Acc (Mean ± Std)
MR,0.8255 ± 0.0028
CR,0.8612 ± 0.0061
SUBJ,0.9454 ± 0.0010
MPQA,0.8740 ± 0.0022
SST2,0.8683 ± 0.0005
TREC,0.8908 ± 0.0113
MRPC,0.7250 ± 0.0019
NLI,0.5713 ± 0.0048
