,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.004851142970045703,0.005172826499575863,0.004851996013049115,0.005079136838795118,0.0060643178538662915,0.006888299670892723,0.010592220478271151,0.010183357928050037,0.011388679718232228,0.005910514074491242,0.02626568020942898,0.03537708451302577
CR,0.0030144771249066486,0.0029502285559146876,0.0028537134214168458,0.0024900517748096826,0.00284996915202232,0.003553582912246023,0.005408586862892671,0.004881134283053767,0.0045851148079169585,0.006827731364356994,0.008039667948125991,0.008214388473977296
SUBJ,0.003839994475261583,0.00391364006247821,0.0036401432588065,0.003202606152808014,0.0029181832586574565,0.0025555044501245966,0.003121033681359214,0.002547531116618564,0.0009601189648654506,0.004849588855031488,0.009018706789460542,0.011216994057523896
MPQA,0.004148863392237979,0.00423942881668992,0.004210283340380734,0.0038558578537846453,0.0033637566402756774,0.00289517371197964,0.0030111215922753415,0.0014566419713307075,0.004433573799808867,0.007125651565061317,0.012800472708664858,0.0025803756858895246
SST2,0.0015795648910154044,0.002466065903392181,0.0024820623876478497,0.002226538430120469,0.0032060914611953,0.003332469935359415,0.0053108053246350906,0.0059713991109102945,0.003908543712209431,0.012478920173819127,0.003658533082893206,0.04272922550159504
TREC,0.006636460525895109,0.00659504205539306,0.006618817290118178,0.00649532518598254,0.006662329893087301,0.007785850794931372,0.004137743309811049,0.002682274356149633,0.014665874070486359,0.015386136766151998,0.015040448344227806,0.00693546841663767
MRPC,0.003935576180097797,0.003642298263862587,0.0035920516601695746,0.003326032420733989,0.00312642804993819,0.003727129478458768,0.004414635455565166,0.0024883791250076438,0.002507451346039025,0.003127535857787439,0.0017384001667431286,0.003317328065497698
NLI,0.003455004363997046,0.003662954596287714,0.0038380338719190502,0.004481274731872866,0.0050881078515310684,0.005995399061066634,0.0060533187930978125,0.006143332115240491,0.019183550821293072,0.007898309115253648,0.01135774635411768,0.003391731611008533
