Task,Acc (Mean ± Std)
MR,0.8798 ± 0.0014
CR,0.9131 ± 0.0027
SUBJ,0.9544 ± 0.0024
MPQA,0.9025 ± 0.0030
SST2,0.9195 ± 0.0027
TREC,0.9636 ± 0.0029
MRPC,0.7934 ± 0.0025
NLI,0.7410 ± 0.0041
