,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.01881884919553253,0.015004011364953128,0.011277491297702632,0.017705589813266108,0.03098107824163243,0.017929168625643553,0.004518351507862692,0.009571988779142152,0.026604272065500145,0.050234127246404796,0.050686972924739004,0.01771050383768301
CR,0.011622747714364645,0.010598328149460972,0.004751122038511565,0.004998740034356464,0.003899499732173643,0.0031743127684476977,0.008934936029348403,0.016457882014938648,0.020031905363224734,0.024355690392501572,0.025203987938490515,0.014131345436787027
SUBJ,0.003806566411912977,0.007918912971731772,0.0035151100148823966,0.00986237917243039,0.015801911799661703,0.01968624183109585,0.02635276667260431,0.03163887015004796,0.034193279421054844,0.04102721104426375,0.03759854969060445,0.020632738048670964
MPQA,0.041741239528882486,0.012717857163287053,0.006105322790357138,0.017890381959188035,0.019315535825922787,0.025477097236505358,0.038677049675065134,0.02891594081549634,0.04024583739951723,0.026402816281805633,0.03218471022558455,0.01949697207000259
SST2,0.011876123338716977,0.011858330620164722,0.01469972096358617,0.018210783759147076,0.02690697332903011,0.02195438834840599,0.02772613005574185,0.03660094701800426,0.008982500671364793,0.03201006611469332,0.012159899386243407,0.015486027001389917
TREC,0.025224371786745747,0.02184237382743615,0.01993897225635718,0.020685244901253022,0.021669297287807827,0.022939800663161092,0.024318853562835765,0.024901316816284724,0.02536521134582202,0.022517467307026907,0.023130893108134064,0.007011761129457361
MRPC,0.008687979589572759,0.003920178955781754,0.006352074440027743,0.005263500102278229,0.005175120445930338,0.005153594917945393,0.007148607909535258,0.009779492313600755,0.014331205173868683,0.014442509098568552,0.02364148622635231,0.01553514662818848
NLI,0.016366870839658904,0.010201317912535524,0.022031879344795068,0.029133589335178737,0.022868862826311866,0.015437180008408845,0.011186475806072781,0.07293446980924552,0.0617267438435364,0.10168435216631394,0.11855579592038175,0.04677400012329192
