,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.19853874126574836,0.026263357605699537,0.029175704808965128,0.02730786329774554,0.18883890860458313,0.19328913899700909,0.23613317416754784,0.09100044585853716,0.16928557956963364,0.19441660915663428,0.2611881932060024,0.3516190801231119
CR,0.0036190456856268084,0.004276992452129531,0.0043982802143093256,0.0045122310344369735,0.004868339170373993,0.005008830669738112,0.005989832540615319,0.005189356443738277,0.005413064196840386,0.00542594186202345,0.0042596660463561035,0.004831620790743129
SUBJ,0.04034413591528896,0.03653347948077314,0.04135385013007958,0.04149667849322815,0.04608563772707759,0.04198423617731954,0.043992148629390215,0.027027981682846116,0.03730647765202041,0.039395771892737325,0.04980462975305063,0.06097087485824017
MPQA,0.27285997360347086,0.07006899724916003,0.04185556116647061,0.02233981164249137,0.12911968291270798,0.08523743047587051,0.07666897747952137,0.0641429936444369,0.05230035314691906,0.05269446373787391,0.20715915985584848,0.33627990721311174
SST2,0.05327422309790916,0.08817863612780916,0.028548630094346827,0.04370553577829998,0.04663901275078738,0.07183286891346191,0.08807970943735932,0.1237756624058008,0.05954214857855857,0.1647367832506097,0.1700659253584805,0.19254698820395136
TREC,0.18397692126618528,0.08548418404454314,0.04748427765610962,0.034294506290116385,0.1450491271177971,0.10496596200707706,0.06104729368960556,0.05754900432830221,0.05154365184547474,0.05711606544563942,0.07239363186883468,0.20798554694091703
MRPC,0.005609414430037979,0.0063868309310171475,0.006712428666666152,0.006289540702970333,0.00691069483870449,0.006876801655361351,0.00762274746847543,0.006327342476719352,0.006446265099223558,0.006782057600420177,0.00670597665522154,0.007679408532054902
NLI,0.011632755529404914,0.0816837896626756,0.0711604926985239,0.10125470391659738,0.04578221064363455,0.037070911977826346,0.10504436288695126,0.13409798386960978,0.08988681616656741,0.03233598413164002,0.09089102280718853,0.18060394402180704
