Task,Acc (Mean ± Std)
MR,0.8088 ± 0.0199
CR,0.6371 ± 0.0000
SUBJ,0.9275 ± 0.0028
MPQA,0.7119 ± 0.0486
SST2,0.8587 ± 0.0028
TREC,0.5556 ± 0.0852
MRPC,0.6649 ± 0.0000
NLI,0.5716 ± 0.0074
