Task,Acc (Mean ± Std)
MR,0.8787 ± 0.0016
CR,0.9123 ± 0.0040
SUBJ,0.9529 ± 0.0012
MPQA,0.9033 ± 0.0013
SST2,0.9186 ± 0.0030
TREC,0.9584 ± 0.0069
MRPC,0.7937 ± 0.0040
NLI,0.7360 ± 0.0014
