,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.016857969457674923,0.015637859014314533,0.007525237704437897,0.009718535933705053,0.0251136520596111,0.01837974427909668,0.006537255310452321,0.006698510270485571,0.028273931412305497,0.05534939254323288,0.05308111314186667,0.02563595754909525
CR,0.004752531078701375,0.010871503788435476,0.008097279207634037,0.007167161670662801,0.00803097066144838,0.008940669056256543,0.023914831782900214,0.03461987538293087,0.038134677085078866,0.04633368873359903,0.04194536311983657,0.010389021583992937
SUBJ,0.004857449702176651,0.013340891727755287,0.00940829674830697,0.0083927739267493,0.01523569164819906,0.020533383742648688,0.0287647422278707,0.03246037913032119,0.03721337308041622,0.045797455214105554,0.040866784284553266,0.008064913364097915
MPQA,0.032419568951445155,0.00898155797715532,0.006421037542985107,0.014008780415131974,0.014803561976045692,0.02099541065557057,0.027231642389251156,0.024490332826267204,0.029561467001680507,0.021890446687420316,0.014579731060203941,0.014342549422946016
SST2,0.015233218678487318,0.0204839639091857,0.018235214850553665,0.024035700662174732,0.03266149865647166,0.02344336405477206,0.02394500334751613,0.04036378130158677,0.004788415316909542,0.04259440881875365,0.03978425408963602,0.017349652526937317
TREC,0.06483086760575298,0.05443833272574275,0.04923086438253735,0.05249237760115166,0.052956298382583776,0.056188532994738624,0.06038300281814853,0.06211931649078621,0.06286564840013081,0.05740221984730895,0.054086687897950736,0.01830076074388125
MRPC,0.010832867661506552,0.008755706574063077,0.007013492534719333,0.010147967605168751,0.010803255303422485,0.018060179472977375,0.017443140736515924,0.025421810170621346,0.030519903348974108,0.037519124304283925,0.04532447730531588,0.029693754349866337
NLI,0.009547948057746882,0.003803803322204076,0.011099525705240192,0.010880344109476582,0.00839351940762313,0.007417186049141189,0.01754473328733472,0.022003757485765014,0.037759474205554595,0.04447540688754407,0.0703841256976228,0.050560071945432904
