Task,Acc (Mean ± Std)
MR,0.8142 ± 0.0019
CR,0.6371 ± 0.0000
SUBJ,0.9089 ± 0.0024
MPQA,0.7993 ± 0.0264
SST2,0.8424 ± 0.0076
TREC,0.4204 ± 0.0034
MRPC,0.6649 ± 0.0000
NLI,0.6472 ± 0.0089
