,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.004720412072139826,0.0018473884590926605,0.002469410100698693,0.0017662298198351683,0.0015746386603799805,0.001454689068255573,0.0012891353233486704,0.0014903214858685745,0.0014037940973088687,0.001781422794001547,0.030553819245125475,0.01679689014871089
CR,0.000865006388483436,0.0004682193179280327,0.0004714214493809435,0.00024237349459547863,0.00017918873943352463,0.00028174630444641196,0.0002804693345490463,0.00027069431221139094,0.0003923749528919067,0.0005194896278500297,0.0003613824972982191,0.0005537889974641348
SUBJ,0.001570363166214019,0.0015109098184061403,0.0012671560898056386,0.0015921074023860235,0.0015433723365285382,0.0015084964926682482,0.0015937096827423637,0.001672242584550915,0.0015504364669739266,0.0017189689675580087,0.026851210050331337,0.024384521575203037
MPQA,0.015004125442448755,0.014273275724783966,0.019398793809957352,0.014104333022202695,0.014116674378799512,0.013968888689752563,0.013838493961798594,0.013974024217738254,0.014234879757644286,0.014135345261129424,0.12579460351608465,0.02215517965826646
SST2,0.0023514370284176554,0.002273056345864466,0.0021756768853489652,0.002019912051768349,0.002132773498436028,0.002128875932417083,0.002345041242638072,0.002315633528302619,0.002286640635307245,0.002214795105769272,0.015743419091578705,0.02088620516017808
TREC,0.0008564245144596682,0.0005448876317232359,0.0002256688767718945,0.0006650253198696502,0.0006597798716650475,0.0006459301672608127,0.0007394088204974191,0.0008772960445336273,0.0004972605943062785,0.0009974649412485804,0.0035716000346417073,0.0026895447265150615
MRPC,0.0008637873531065302,0.00046578766310542127,0.0003313462316873066,0.00020894895741856685,0.00015367300973291684,0.000243527261964942,0.00025055831823193766,0.0002452211689834771,0.0003825361176602483,0.000539359375517053,0.0001829062333677301,0.0006413787235541982
NLI,0.0024113589719079627,0.0009156207219364383,0.001029911503090578,0.00075248469598525,0.0007971816042135232,0.000766357551939206,0.0009337743848914834,0.0008413253015770953,0.0008417778609537346,0.0008977941542763995,0.057291096918069856,0.06167885957953196
