,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.005220552880945037,0.005294949927329008,0.00552024223978496,0.00567798603346873,0.007608258370289098,0.005118352333109894,0.012621001250155047,0.01658805179378791,0.010327222184235528,0.005435599526962805,0.005537528092377324,0.005249679849313354
CR,0.01289088969946204,0.013050572952493273,0.013388577089763739,0.014054139404923996,0.019649327698060937,0.013276736655144786,0.022070995041022647,0.02062045769340997,0.018884750837532834,0.013479348331618403,0.0030010287377594176,0.012502805035973777
SUBJ,0.0023887817672691458,0.0023496900163835063,0.002510473388724214,0.0024623906707726883,0.0032350406812994177,0.002147423079978492,0.007055019362940562,0.004393540862408198,0.0038950616872006033,0.0007616519346521387,0.0018309037789487634,0.002507940356530835
MPQA,0.00467954312058309,0.005772589699440283,0.007929309526282638,0.010091431187575986,0.004767019652003523,0.012438527338175366,0.018194965292312893,0.015383285843050312,0.004309902412198624,0.002721337045575489,0.007335086126676109,0.007926810085666345
SST2,0.011384324253134558,0.0006860880128474385,0.0008188327343614478,0.0024574178124531477,0.005935681683272423,0.00996877324047093,0.04571451463091003,0.012614536838500993,0.008427410950098711,0.008203348775424505,0.005487186428978074,0.002963501907874331
TREC,0.0047896109306538185,0.004966878482546345,0.005435177947407479,0.00745395788219372,0.0012223634404384936,0.004744305785323967,0.00585233404552485,0.006706673550761846,0.007150721986860706,0.005298822236365735,0.00450601547994222,0.004731159793167889
MRPC,0.0047810618727125555,0.004127376448524049,0.005337150786688769,0.004928817631217309,0.005922100844514886,0.003414947898664679,0.005831279821980843,0.006411018485114943,0.006797344972762566,0.007875714815459693,0.004026330138423563,0.006508346393988534
NLI,0.0013254968245329445,0.0013602200198819057,0.0013147170650346452,0.0012454920524606187,0.0017907281051241324,0.002701898803498366,0.00793900651615327,0.035952059082310965,0.01271981506800257,0.006869043779914278,0.0026643678545777774,0.001207089222515031
