Task,Acc (Mean ± Std)
MR,0.8443 ± 0.0027
CR,0.8914 ± 0.0098
SUBJ,0.9511 ± 0.0004
MPQA,0.8759 ± 0.0035
SST2,0.8917 ± 0.0020
TREC,0.9248 ± 0.0052
MRPC,0.7594 ± 0.0029
NLI,0.6169 ± 0.0025
