Task,Acc (Mean ± Std)
MR,0.8551 ± 0.0031
CR,0.8949 ± 0.0011
SUBJ,0.9518 ± 0.0002
MPQA,0.8970 ± 0.0009
SST2,0.9121 ± 0.0014
TREC,0.9474 ± 0.0060
MRPC,0.7526 ± 0.0122
NLI,0.6994 ± 0.0064
