,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0007943884573582747,0.0009080543668970245,0.0010063824234496151,0.0011175112373883512,0.001380484594976466,0.0013181788758142503,0.0005626014778434811,0.0011827781501446955,0.0014781274836598137,0.0015795391859169965,0.0017936722806357623,0.00014156434358694053
CR,0.0002827422887297373,0.0002398308897759658,0.00024251745753159552,0.0002783988483622058,0.00017090067480911777,0.00017269663637848573,0.00016852508359609054,0.00024083073862518875,0.00036281471054807485,0.00031868700978814686,0.0003108730920747789,2.6927148914074832e-05
SUBJ,0.0004718556021774904,0.000534739542964381,0.0006362847489927085,0.00024140485944455534,0.00032242868090381275,0.0002742666750705257,0.00040313955078616045,0.00047863832685150304,0.0006584357352451143,0.0007459735327572607,0.00018455642209752238,0.00044115732000580226
MPQA,0.0003738431291727721,0.0004703962375625395,0.0007395645833911007,0.00026545717877359015,0.0002481635626029172,0.0003616608477608505,0.0006320225024505692,0.0007180411940335291,0.00041579736117163977,0.00020660334663209288,0.0005417533889231827,0.0004155962148207353
SST2,0.0020538595171622482,0.002754129434109494,0.0028975894723285906,0.0028461126750340903,0.003006016594046091,0.002802376871330976,0.0009579465604283783,0.002308327911746845,0.00601034714165825,0.008391203933511306,0.003184851957030952,0.0026501048422359333
TREC,0.001459018626364311,0.001520143723674544,0.0016605199579363956,0.0003805170693632291,0.001407799009466914,0.001682027167057089,0.001820714669865397,0.0018640379033136288,0.0013277291261330208,0.0003900507122787554,0.001660741852630536,0.0012891013933029355
MRPC,0.0005997544632236972,0.0005948539139057175,0.0007113042662758632,0.0006623896888496022,0.0006671572495562085,0.0010925168714126055,0.0005980587250509772,0.0007008093398582635,0.0006893123205426374,0.0010101075266991813,0.0009287513238911952,0.0015987696430172006
NLI,0.0049391724263238524,0.005151069727964417,0.005470256670690577,0.005539104241276146,0.005409173765875599,0.005338612011280534,0.0053669962469842375,0.006870907676073598,0.0013503905357028154,0.014107603624952484,0.022385725854170372,0.00847767253950468
