Task,Acc (Mean ± Std)
MR,0.8148 ± 0.0018
CR,0.8630 ± 0.0031
SUBJ,0.9487 ± 0.0014
MPQA,0.8873 ± 0.0019
SST2,0.8656 ± 0.0029
TREC,0.9308 ± 0.0016
MRPC,0.7315 ± 0.0018
NLI,0.5729 ± 0.0017
