,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.005600619878010503,0.005927470864602033,0.00634687398292174,0.006851916140811653,0.007450678932450947,0.007633238566766071,0.009369831540581873,0.01202241609026271,0.018084362417826877,0.023757966369535265,0.016823614441315173,0.005097549332153934
CR,0.002698119411153778,0.002774468794944869,0.0027053592567348765,0.0026195685851550386,0.0032532267683902834,0.003540661428802746,0.0034016886927515687,0.0021175957655602882,0.006379707512527623,0.006598867516824295,0.0062318833556575404,0.0038609639070118027
SUBJ,0.004678849928561038,0.004888091696342158,0.004825578780894229,0.004937388079520293,0.005911593930860869,0.005881460383130365,0.006331019400525994,0.0027562982237454227,0.007711772595518245,0.011122729578335022,0.012638584601028461,0.009133009650462563
MPQA,0.02039233261061465,0.005995479325346703,0.0022672502079914714,0.004305182776984624,0.006750568385253362,0.0067811140553702,0.003736930550242365,0.0044773469837265205,0.004259511497853536,0.0035832264235980548,0.0024290233352186204,0.005859321133321151
SST2,0.028600571644176016,0.004420617325147153,0.006058056792193011,0.009989889006227036,0.013796958173103294,0.013921706648498636,0.020198977411949762,0.02522856794847042,0.06861699167968867,0.01739620898498659,0.013900620218592246,0.01056177942336745
TREC,0.0031444084848253158,0.0031555332336255393,0.0031591480945228796,0.0033997823048306296,0.003339637847466108,0.004927396428572441,0.002991178255784192,0.005186081648154772,0.0084828705012748,0.0061739070074031295,0.0020423931036622368,0.003485319412362899
MRPC,0.002267816028504014,0.0022426084114960834,0.0023650842310110895,0.001970225960719506,0.0007335554722797433,0.0021827909848978143,0.0029193126342240126,0.002622455481512854,0.0022831813152723924,0.0021767653972989704,0.0005206303941776388,0.003657748537265141
NLI,0.00277192843795663,0.003026344690434952,0.0025332033110383122,0.0034359737547418117,0.004296089478773305,0.007864305510046006,0.003573506932544052,0.010686206246355417,0.03541480162162449,0.00555708640497249,0.006503394559389604,0.003647924699722722
