,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0026114972129426275,0.002654134795725574,0.002629224704657739,0.002699845515035949,0.0028771013586162317,0.0026180896136733657,0.005901535617215658,0.0058588622012045585,0.0037439384316366965,0.03430586619419875,0.004775066923282627,0.004264088781634176
CR,0.003637114920196889,0.003721402432833125,0.003660993560446325,0.0036300573948163596,0.00474634672268455,0.007057465434602637,0.004548802543233743,0.009527245159073099,0.009288680833462582,0.017512711062597556,0.003738221281474757,0.004398025423087782
SUBJ,0.0018364736993321698,0.0018737801610337098,0.001943631172795404,0.001775588539770172,0.00239675572466934,0.00259506351861388,0.002146662116646356,0.004786406316650512,0.00403217429769678,0.005690538837321754,0.0019282974768131138,0.0031493254454603003
MPQA,0.004378893740341825,0.004919109656859916,0.007343765609102048,0.006049286228826075,0.00324070110714304,0.0046873267900902835,0.02199197206025025,0.021328251970771466,0.00529898445861214,0.004541695301784127,0.007341443326346574,0.006581415834991227
SST2,0.003843408888766007,0.000511974825743812,0.0006479800119503897,0.0015585331259464598,0.0011965455442922521,0.001953486418366324,0.0030580975845175876,0.007542107610374718,0.012100480262273313,0.029800872206747007,0.004366154804377342,0.0047287287173051395
TREC,0.00281466624666117,0.0030039525082096456,0.003297381091499291,0.004944868476339106,0.0007871824971349894,0.0058188591683286895,0.00836175300721322,0.010334991143494654,0.003106224741180244,0.002675161607737004,0.002965451072569902,0.0032261961576289526
MRPC,0.004451292236839571,0.004456869075140912,0.005595892259867481,0.0055533964560610105,0.005343813901388986,0.005761438337250277,0.0056512657998631765,0.0038287481041687052,0.003450980015115506,0.008820020636048496,0.01074174757135041,0.010076276394328142
NLI,0.0008128428138055739,0.0007874741206291102,0.000694985518278164,0.0006522682713140433,0.0006487188634345239,0.0006185822661007848,0.0006621815064414435,0.0010235295116271536,0.0018282400672344373,0.020598343579849257,0.04482284177035725,0.016710381901660326
