Task,Acc (Mean ± Std)
MR,0.7710 ± 0.0044
CR,0.8109 ± 0.0053
SUBJ,0.9261 ± 0.0019
MPQA,0.8070 ± 0.0102
SST2,0.8202 ± 0.0040
TREC,0.9156 ± 0.0096
MRPC,0.7412 ± 0.0059
NLI,0.5557 ± 0.0095
