,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22
MR,0.0037513190159436088,0.0035212286604997234,0.0036554450193147297,0.0031097027647195652,0.0025621809514604957,0.00252709300959582,0.002303226369376148,0.002135386159234542,0.002074728678844613,0.0027370439298215962,0.0027910389961344935,0.003485409058923206,0.0034758148781604734,0.002473840965413522,0.0012919775654226108,0.0034619214284567408,0.003300603354728762,0.003402298414384705,0.0030491370398600197,0.002765685952255031,0.002740549453144059,0.002496988089267706
CR,0.0003759812971107385,0.00035010866499549196,0.0003484939191763393,0.00032669811133520125,0.0003485348028514213,0.00033923026531438,0.000350625247108734,0.0003251623624489754,0.00026454764846126956,0.0002639971589537612,0.00025889595606405386,0.000851382856409507,0.0006947818633732427,0.0003735945916411813,0.0003417455553010047,0.000464838675984602,0.00046738143765842204,0.0005367756852550096,0.0005272050172933197,0.0006412823889698001,0.0007076982173279234,0.0008215635941120658
SUBJ,0.0013861218444952902,0.0012305876103900126,0.001036421517376038,0.0012501251584677074,0.0012854434360619644,0.0010081005148565234,0.0006935407906640982,0.0007005620060984314,0.0007340917723914258,0.0009708904247425431,0.0009169355750693895,0.0006257220224051112,0.001295043764834997,0.0017782377042403943,0.001766224226378682,0.0016044967789674886,0.00034825212966642274,0.00197687728632832,0.0031912966809717848,0.003992321245649812,0.0036277841850008274,0.00381133165745569
MPQA,0.00128210452188469,0.0013685102292648758,0.001368630841055021,0.0013638484677454274,0.0013425549583887361,0.0014246183208704573,0.001315776057799488,0.001445531355177923,0.0016242020571251557,0.0015020620944802467,0.0015166557302612382,0.0014920427469950763,0.00139641126685753,0.0014755114534159483,0.0014060276322558742,0.0016925373787959955,0.001630065766587824,0.001554915089361089,0.0014509455787600181,0.0013230637034586524,0.001123333271459274,0.0012284878749095692
SST2,0.033538457827357045,0.027907066333834555,0.026706294204407528,0.00924984292020326,0.003571899277087624,0.0043072532645933624,0.007596807312714602,0.005952599961524479,0.009126740664299544,0.007522286077776743,0.0045481153556726555,0.009658150879697534,0.00945739045808057,0.009763280790174248,0.009631255891767686,0.009394667275919751,0.0095321704158867,0.009704189802328745,0.00952690081805258,0.009531281605753452,0.009888392359098679,0.00965114837992214
TREC,0.0010395412262559395,0.00088452588066957,0.0007028057132595124,0.0007031592162519161,0.0007995370795678087,0.0005973980329145221,0.00028598372301302257,0.0006998121951185862,0.0009348282668768141,0.0016056634659738504,0.0027028147597774384,0.003765436102295754,0.003703866179488589,0.0033959429104963917,0.002709688077036584,0.003065247283303663,0.0019031277066853414,0.0011231071675172257,0.00229269963853214,0.003938494368431266,0.004905422966756639,0.004748144997419128
MRPC,0.0005096163036296626,0.0005067580338408576,0.000584111899227705,0.0004753633606596683,0.00046072899386797103,0.00045188812365140575,0.0005009750777308512,0.0007449041515939043,0.0006686463715913578,0.00045015117164860893,0.0012030943972088958,0.0002619062327845585,0.00035975062477518356,0.0007400644608246013,0.0011035144068018616,0.0006356731873888736,0.0006328660854872152,0.0006261242790038867,0.00080884793564516,0.0007956513655578597,0.0008867989040750077,0.0007920468346494439
NLI,0.08291075658100487,0.027157065098371642,0.0053255866128479774,0.006297999046893227,0.012180806355424732,0.013686177621050764,0.017224000062558448,0.01773769805284997,0.015545133533399532,0.0037079024598312255,0.05590029735300087,0.013668938438647636,0.014091239602101862,0.006136674660924857,0.014451253114886318,0.01120208317246746,0.00945867535548181,0.009448767722239376,0.01025812488511516,0.010601199938072792,0.0104340198657437,0.009447124969681475
