,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.027031937529799405,0.019717897729574514,0.019538745795315504,0.018585412156518728,0.020828860017717263,0.020761389410166923,0.028928985086570647,0.022544967171168526,0.0218092051954591,0.02528125817128039,0.024859853438791043,0.23782818685706028
CR,0.0008375348875400409,0.000506992527930269,0.0003366915589941161,0.0003229264044648315,0.00048230473774347235,0.000513978726327387,0.0006561830752810071,0.0007157299462421817,0.00035505339599193984,0.0005819174569580946,0.0008193730560611021,0.000512453436979709
SUBJ,0.00811514243619125,0.007523352584918604,0.007666264504234029,0.007542528585713741,0.06593206353988272,0.019648604215376557,0.009175858871136745,0.012468196808131668,0.008759068262095486,0.01033731457376051,0.011698492270341553,0.16797625543848418
MPQA,0.001430871024250744,0.0006227892293123363,0.0003162062200010305,0.0006326981836365615,0.0012000741286753215,0.0005505124389485762,0.0005020467112664464,0.0005917441952261109,0.0011257437552208457,0.0009495627769506592,0.0008956719049336026,0.000990909168255568
SST2,0.009712260199460665,0.0003272026380406412,0.00045912585558701807,0.0005416656303932616,0.0007623720347684047,0.0006561413669679281,0.00041819834739906643,0.0005173392559877838,0.0008870412198728801,0.0005416645676128203,0.0020614522321210876,0.0060880813475634185
TREC,0.03450872526353795,0.01145512017645904,0.012994869721718413,0.014801556156868536,0.024487694070312187,0.0020598296169638064,0.009798213823159988,0.007818068847192342,0.010406777103550174,0.006766047280630285,0.006197594230773505,0.020997481374191003
MRPC,0.0009250180232895483,0.0004551349675060424,0.00025898648769164553,0.000921031738267831,0.000785611964984054,0.0007159314536225666,0.0006252880254090195,0.0005102042771593523,0.0005283839692803197,0.0006143781119836657,0.0008282553496703635,0.0006254773930281425
NLI,0.00019086283479875126,0.0002619981120229997,0.00012193034701626135,0.00014789820080566478,0.008010118633319218,0.004125756173040587,0.0012310860012816921,0.0005363063440603759,0.0012936487908519344,0.0009057121529871758,0.00019349714293298,0.015697917978932278
