Task,Acc (Mean ± Std)
MR,0.8463 ± 0.0016
CR,0.8951 ± 0.0061
SUBJ,0.9510 ± 0.0012
MPQA,0.8784 ± 0.0022
SST2,0.8922 ± 0.0007
TREC,0.9256 ± 0.0045
MRPC,0.7598 ± 0.0019
NLI,0.6148 ± 0.0006
