,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0037652118481965634,0.0038722860333612807,0.004056721879329787,0.004224732591412165,0.004942292075680821,0.007127365698358222,0.009134012094143466,0.01852766480488363,0.008330492409156507,0.001876294128235777,0.005782726816409648,0.004043205893326579
CR,0.010822685704555246,0.010790123503350435,0.011052319289159984,0.011270688940485997,0.011999751747171003,0.009739702535116156,0.01902130023829981,0.017978119940347623,0.015517908814599916,0.009747062793363855,0.005713250287863168,0.010510481675911171
SUBJ,0.004382113444360814,0.004507867874023945,0.004538022048787228,0.004621903301247319,0.007757298428213876,0.005471599081847705,0.01354728372604771,0.00798098907267955,0.008495656369983277,0.0031319074551956817,0.0033666327230055665,0.004605589744994422
MPQA,0.001140258532243232,0.0018343292957409413,0.0026840394625543894,0.004182679689224218,0.004421454953378918,0.0056360200095114605,0.009881660876492315,0.0073914158887938,0.00156829014830898,0.004014618022622529,0.0028615965964362017,0.003334633449250327
SST2,0.002813066782946232,0.0003326983464854947,0.0002916098556932466,0.0009061351225745218,0.001590992892927981,0.0025855365791099924,0.015646063047666997,0.0036485522850754665,0.003822853218823373,0.0032721452203051298,0.002259074279009386,0.0014192037388209974
TREC,0.006272349819232135,0.0062702752052591765,0.006338866727844246,0.007025622651446008,0.003823509563033875,0.005463592724247023,0.008807282765088796,0.010821757006403546,0.012379635684207,0.006546243894063108,0.00805784802716382,0.006498510800608965
MRPC,0.001614267381131968,0.0012690878641384979,0.0016049184996226708,0.001401870415301641,0.0022989150670075127,0.000957416019862585,0.0015787553436567138,0.0012823127006190826,0.0017426582488691323,0.0024550522792399308,0.002615450143386521,0.0017799902396105796
NLI,0.0009355403353780734,0.0009568043944137307,0.0008627891251947118,0.000823266416212677,0.0011289925319859287,0.0023445826318132697,0.007466342381787171,0.03082114591570115,0.011967523269327348,0.006313853762210466,0.001947351403543643,0.0008189326170735703
