,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.002188906734670142,0.00275273836755402,0.0027814722990822677,0.0022980118119007,0.0033744394130340786,0.0038463261404325607,0.005239599825305545,0.005191898172773885,0.0035088037719879844,0.007198638205067217,0.011195245376088072,0.005905350984535036
CR,0.006831533498599306,0.007187201242783325,0.006840850928101449,0.005971257688240884,0.0062647263973908615,0.007968022506193032,0.009663146690439446,0.009681377150181199,0.013848689872178507,0.017170264085225883,0.016860476150287657,0.012448261690678353
SUBJ,0.004351249082942282,0.004369671137103016,0.003981853282337687,0.003999218427614965,0.004097284959610147,0.003879533871027481,0.0017286671586772223,0.001283436413704136,0.003969833678078563,0.006724690918084482,0.007931549043401076,0.007837771712552734
MPQA,0.0013698839101740068,0.00041269997362654976,0.0021782517315653447,0.002256076299725644,0.0028800119383035976,0.003698696605657907,0.0019758169688359893,0.0011812090632708102,0.003873229879971351,0.0052924621858683905,0.00554052610701697,0.0029845378142676696
SST2,0.03110729699784097,0.012433792655899641,0.0005044906425050223,0.00600464413712712,0.008617854572471552,0.008770563401033651,0.011050899065549279,0.0129559042667675,0.013384065978528849,0.008778861742306519,0.006133692643340852,0.006325143741849061
TREC,0.008669116301297148,0.008693325422933261,0.008771498805941677,0.009074205616613526,0.009187934324108134,0.010320408565783526,0.006654418675666644,0.009487824435887773,0.018748506082548237,0.017356971906461037,0.01218192139168811,0.009608134313950571
MRPC,0.004255335684150109,0.004163142771307936,0.004285618415513214,0.002373181162677548,0.002259371808491915,0.0038731245513537135,0.004594151509887289,0.0031551140277499513,0.0022727146582550693,0.0030601693173090056,0.002218982928134101,0.0012389967528748853
NLI,0.002802562482823383,0.0024897438524280006,0.0029154183486404775,0.0028520197431537923,0.002796551325787337,0.0026577121497954946,0.0019345441688443236,0.0057911328349000025,0.014863626736641133,0.0019109429472430521,0.003264593573480487,0.0027611441206356487
