Task,Acc (Mean ± Std)
MR,0.8306 ± 0.0023
CR,0.8710 ± 0.0069
SUBJ,0.9518 ± 0.0008
MPQA,0.8878 ± 0.0013
SST2,0.8748 ± 0.0040
TREC,0.9380 ± 0.0132
MRPC,0.7338 ± 0.0023
NLI,0.5980 ± 0.0026
