,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0007748438398315304,0.0009320349724938273,0.0005337176024384474,0.0009193539914417142,0.0007525167832708393,0.000890021399505515,0.0007153870108005508,0.0007587869446619451,0.0009432403933894149,0.0004624826657762815,0.003224074277945801,0.002291704402357866
CR,8.863440078469489e-05,4.692513215397844e-05,5.01963889804085e-05,8.792245633949258e-06,1.7514861181272824e-05,2.9557333958101046e-05,3.3000815481310364e-05,2.12895759852917e-05,3.982809463183273e-05,3.840837641981542e-05,4.864823318015083e-05,4.9799617667949044e-05
SUBJ,0.006250668171320255,0.006249936806742358,0.004000500333581739,0.006092365395167136,0.006320118244422764,0.0062717374150974324,0.005679082531344408,0.005850736811803129,0.005936805346909529,0.005083631058801994,0.030092586432152506,0.02762768486860936
MPQA,0.00219828278689689,0.0024094981428990346,0.0026105407745951803,0.0029973394518200713,0.0029387992675635375,0.0028730290901970014,0.0028929926977820032,0.002831898233830404,0.0027950202185177755,0.002502765773921606,0.010774359490589037,0.0066524297810896795
SST2,0.001119996462505968,0.0035164986431355186,0.0010955227092074265,0.00407174582105923,0.003980771031066769,0.004052370312501488,0.003214580478799756,0.003845675063101547,0.0037515237280073893,0.0039812023336244255,0.021533162951918754,0.01113781617234106
TREC,0.00014609132180550701,8.897752078117313e-05,8.346044748462362e-05,0.00011540444617020509,0.00012120512097439095,0.00011723095741384619,0.0001416107745727497,0.00017299727841850362,7.617176475287436e-05,0.00019167229072946583,0.0006030615672814554,0.00048499135658533726
MRPC,8.024334712073242e-05,3.919231139757454e-05,2.3927904560479078e-05,2.0057181919553504e-06,9.568414396415161e-06,2.1487126825328366e-05,2.6926186849105567e-05,1.649544858904443e-05,3.1708927198599734e-05,4.2810303493485685e-05,1.620262253666914e-05,5.490984825857721e-05
NLI,0.0011364017240242529,0.003901765038023231,0.002746571106797856,0.005223901652275433,0.004678166141165783,0.00529244076994914,0.004067668691134922,0.0046870687100371575,0.004935605196031228,0.004176717178595706,0.021630338132560625,0.016905067543938647
