Task,Acc (Mean ± Std)
MR,0.6889 ± 0.0184
CR,0.4959 ± 0.0000
SUBJ,0.8269 ± 0.0910
MPQA,0.6738 ± 0.0255
SST2,0.8274 ± 0.0064
TREC,0.3238 ± 0.0111
MRPC,0.5311 ± 0.0000
NLI,0.5187 ± 0.0263
