Task,Acc (Mean ± Std)
MR,0.8158 ± 0.0029
CR,0.6371 ± 0.0000
SUBJ,0.9084 ± 0.0024
MPQA,0.7858 ± 0.0271
SST2,0.8390 ± 0.0022
TREC,0.4176 ± 0.0032
MRPC,0.6649 ± 0.0000
NLI,0.6560 ± 0.0049
