,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.004411488488793025,0.003074619576197816,0.0037943547644419817,0.002717712842154638,0.002803610004881384,0.0028081176691479,0.0031338080290384015,0.003091011870370815,0.00280895146667158,0.0029584729094277538,0.03991408677656846,0.01660518103824363
CR,0.0008458077951955016,0.00048696180496902525,0.0004823162594622627,0.00024722463426513666,0.0001790736112574616,0.0002477879626396942,0.00027435284499540406,0.00026803395727756016,0.000397888453529851,0.0005139353761077439,0.0003826155578577415,0.0005917209344162385
SUBJ,0.0020493606818645926,0.0018914879015637293,0.0021034363427751674,0.0018959431717691406,0.0018513847849362009,0.0018402859168282974,0.0019786797241702265,0.001966623592067827,0.001950522348540023,0.001939867933695368,0.014447751855022459,0.019544608829065984
MPQA,0.016008417235962986,0.015515218592387083,0.02195273693957111,0.015711163903433866,0.015658258776756365,0.015513073448334021,0.015086775241808676,0.01519114235637,0.015648817805148957,0.01534661291766429,0.1373673989055771,0.025559894416608366
SST2,0.001064560997092788,0.000978668796779462,0.0009313009989681387,0.0009673100564258488,0.0010169413381119026,0.001005872871409157,0.001127343679839326,0.0010639763780638041,0.0010650263868960536,0.0010024853650932185,0.012165979400689862,0.012894913251612758
TREC,0.0007939773873124886,0.0006030611146973214,0.0002836871875363557,0.0006512323414314681,0.0006530270899939418,0.0006661448602726382,0.000749767023949465,0.0008634030743150105,0.0005318570172255011,0.0009621020513132457,0.0035513005090887667,0.002670311533205013
MRPC,0.0008795829807684312,0.00047402530138262105,0.0003459477980184038,0.00022810558046059982,0.00016318724589674984,0.00025473382764371066,0.00025336181633913194,0.00027125871686116957,0.0003863346371131329,0.0005537061081776162,0.00017836766334440243,0.0006902650982572026
NLI,0.0008758016442274559,0.00025408930346463297,0.0002890040899184858,0.00022063696403415274,0.00023723982758670978,0.0002200978338925159,0.0002550898957281669,0.00024195395195292642,0.00022592263300896053,0.0002447297200249607,0.054228401359914115,0.054498414332404724
