,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.017995488732390846,0.018072637992899154,0.014069458821187843,0.032546100870810564,0.05982825177782132,0.042700666612269754,0.04735991024888552,0.026481877908139294,0.05344019723209764,0.04217828978578162,0.03986119808208119,0.02511079572804387
CR,0.005951129648153735,0.002176561687731514,0.0013731937230080872,0.007793648891750294,0.007871958706836003,0.005465754973219538,0.0031805773679761625,0.014903070340370372,0.04505775326742841,0.04601393113760609,0.043208917813967546,0.042784877372879164
SUBJ,0.0045307639230491555,0.0023693476133514577,0.0022223887576617923,0.0024300739941223136,0.0020041036002060864,0.0014008134849161002,0.0021626887116715596,0.004081285233432246,0.006507269670900905,0.007897267056014946,0.009442404581887658,0.009076207293346305
MPQA,0.01881056892231599,0.010691173677687738,0.005260973713724317,0.00631115388673568,0.006032242191488775,0.006044657677859232,0.005850505495078458,0.005923116986336697,0.008941996020720643,0.008390618676676726,0.00667301152787099,0.005340182514202929
SST2,0.03347092383969783,0.032556644630029455,0.02112722712641681,0.012605235153551239,0.02594108494942828,0.00820702203946173,0.015134169179859448,0.05335491629072274,0.06527510618267329,0.013977014117955242,0.04689265780497005,0.05028097715340436
TREC,0.018389975786406235,0.017951035675474382,0.014739716487405335,0.01636181273238389,0.015434818520548003,0.017941288261575743,0.02204844061272916,0.021927660268071438,0.024202490160413852,0.021208589084650658,0.02162166284276153,0.01765294493508663
MRPC,0.0074797097062440825,0.005817469840386054,0.0034509753026170987,0.005813315347102312,0.0053714265771569085,0.005774779095020567,0.00813452044570597,0.006854237185429603,0.007199738928890772,0.0068748036789339105,0.004303518769835061,0.0020587120241063513
NLI,0.018411167930621676,0.010814065779065558,0.01630411962495799,0.028369384674206365,0.08014958190443466,0.02329637271256138,0.008722531828106317,0.019808857221156224,0.03983068026821843,0.020196505520963828,0.03521645520895824,0.04910270229851204
