Task,Acc (Mean ± Std)
MR,0.8165 ± 0.0029
CR,0.8636 ± 0.0034
SUBJ,0.9496 ± 0.0006
MPQA,0.8878 ± 0.0010
SST2,0.8695 ± 0.0027
TREC,0.9316 ± 0.0023
MRPC,0.7309 ± 0.0028
NLI,0.5720 ± 0.0033
