,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.013238647841147973,0.012979473876569857,0.005876210402907324,0.0036096426298751227,0.01780925932634427,0.010392667029080684,0.00734375553298092,0.008509537398183813,0.01866899211696993,0.02719579565529963,0.030747402759923194,0.011190541115518714
CR,0.002589154266545408,0.00648024251158963,0.008019225543151313,0.003764397658010511,0.0019773339639573757,0.003157623165318385,0.0123435587620325,0.017502841511969375,0.018743331585200872,0.0233711168226041,0.02274944885316229,0.004902401357319584
SUBJ,0.005241993640929317,0.0032574269405285733,0.0028672073301445208,0.0028534970769865807,0.006278950396443092,0.007700098152655641,0.0093195664840909,0.01020294566695706,0.010291932987346578,0.011099760254713157,0.012134746437205876,0.010594096893080107
MPQA,0.031933249999741904,0.014716097863380274,0.008715919632877558,0.017572268527076308,0.018508726867260735,0.023379598430609855,0.029969070162296527,0.028585289673003045,0.03358811297359661,0.02740700791704168,0.028930357671928947,0.011248303899678309
SST2,0.022910463742612228,0.017505055912729686,0.02045902127444235,0.012980774629730138,0.04299967114384443,0.04210524521535616,0.036916454287515235,0.03577189353267592,0.013630701948026817,0.04228382038735875,0.014246833543290772,0.026407982681859486
TREC,0.056468125449795084,0.04891640155002593,0.04397350583091934,0.04793355886443693,0.04770794061252206,0.05056922239843631,0.053421118606333334,0.05458382234301083,0.056089136657794296,0.05069688155148801,0.04620725597118659,0.013699424580190016
MRPC,0.011747671773410446,0.004060095773038283,0.009240734481339241,0.011185144300576936,0.009763089956914333,0.012847506273440255,0.014427760822842138,0.019455103393163784,0.024909249810837735,0.026108331884918224,0.03988594087611014,0.02449406149531792
NLI,0.01032828516015677,0.010944731355950128,0.01615703804188849,0.01464464057130849,0.014155453320669352,0.007887079823771334,0.007515117506483445,0.058135357147360414,0.04648709228968774,0.017888983616707207,0.030664473197496406,0.02116807232964165
