Task,Acc (Mean ± Std)
MR,0.8808 ± 0.0022
CR,0.9121 ± 0.0023
SUBJ,0.9553 ± 0.0009
MPQA,0.9027 ± 0.0014
SST2,0.9172 ± 0.0022
TREC,0.9592 ± 0.0056
MRPC,0.7933 ± 0.0037
NLI,0.7411 ± 0.0022
