Task,Acc (Mean ± Std)
MR,0.9032 ± 0.0021
CR,0.9319 ± 0.0018
SUBJ,0.9656 ± 0.0007
MPQA,0.9041 ± 0.0008
SST2,0.9264 ± 0.0020
TREC,0.9604 ± 0.0027
MRPC,0.7939 ± 0.0049
NLI,0.7913 ± 0.0012
