,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
MR,0.001506781008429056,0.0015487259192761916,0.0015765145330996764,0.0015784778982423054,0.0016996364485091424,0.0017563180228926379,0.0017655339896075499,0.0014550327671295187,0.0013717180590939095,0.0015253720044357392,0.002145970760028792,0.0030069892721303368,0.0035161640330681897,0.003155815934496266,0.004538338528960359,0.0037805262909391853,0.005145398077595474,0.02238282001946416,0.02249838824868258,0.006278113021152815,0.0030376548286318566,0.001962455836220352,0.0017282354774796253,0.0020323532955388683
CR,0.0007851852821782918,0.0009900395888613176,0.0009012719512474223,0.0010215671922605629,0.0011478236834033277,0.0011703623542243578,0.001120971162824776,0.0009740416575191068,0.001118694891559806,0.0011516555990077266,0.0014427109243207667,0.0018337383311061886,0.0011368874566769838,0.0006853570477983185,0.002406130985794926,0.0037249226258888645,0.005451379397705489,0.005805683719134945,0.0032217220360424297,0.0017453441702234018,0.0015169918495672803,0.0013968974876123307,0.001365987236996124,0.0013248779089750607
SUBJ,0.0013727597815058632,0.0012751587406708417,0.0014142281379975774,0.0014465157591628944,0.0014184203488284166,0.0014019974388090237,0.0010734220646439663,0.0008540940873968408,0.0008001071082017296,0.0009624956628196401,0.0014103385893447765,0.0014873677062177666,0.0012074428593066508,0.0012066409738423895,0.0019824704618267006,0.00409162806237116,0.005002559081372708,0.005904957703903386,0.00442527179289808,0.002730479854993059,0.00253882082982647,0.0009586453436136041,0.0011449832077208043,0.0012748842743690032
MPQA,0.0010002308992161444,0.001262224694941666,0.0008876473451849535,0.000800342318022365,0.0012036607752415288,0.0049192095556278796,0.007046296226892876,0.004743281471958968,0.00015893543216598295,0.003910208775867639,0.0018658797320869963,0.0009050629793473124,0.0008794007493642323,0.0005390064852611595,0.0021604295686455458,0.002069733968725617,0.0012982391072126045,0.0010923396675298401,0.0026292086980479134,0.002730608892491853,0.003157574679204272,0.003312612472824071,0.0022718624920520926,0.002696766954231971
SST2,0.0010843952144297597,0.0003756692601170289,0.0003183226726533995,0.006191320644605031,0.004333149156051925,0.0037221448315442234,0.0018940969998331187,0.0007418271215055624,0.0014605893060415389,0.003357970299139568,0.0030942453283027633,0.005839651262712387,0.009051147828070465,0.00865835500961985,0.008909783031928865,0.003358246906880436,0.006526061993984855,0.04272030825107782,0.007432739462168732,0.005597258733920873,0.004114614841231546,0.00431038990724436,0.004198497778937568,0.003662410814267931
TREC,0.002237868837949309,0.002120479643242173,0.002182857272403804,0.0022499253386709613,0.002307059501326405,0.0022258933892550857,0.0022773886866943862,0.0015336339257612374,0.0011069508078135242,0.0034718862387013677,0.0027869274127905372,0.004813102192587295,0.0028771816908563738,0.004268013653548091,0.0060369232845867635,0.005648247777713368,0.0033344739017564283,0.0013807864730006618,0.002921969659813217,0.0023248858499113887,0.0024897072032094175,0.0025691913323310227,0.0024781249907311403,0.0024316861770671
MRPC,0.0023964438555883895,0.002352731212642688,0.0023391274749836786,0.002505965090452603,0.0027602474036579915,0.0030089695514065396,0.0031659668687469573,0.003373750452807518,0.0031714044656554734,0.003098021329411957,0.0029908006615241675,0.0031996951542174793,0.004021974880695014,0.0030938743082132916,0.0018705982830928645,0.004326148721632308,0.005931031704227324,0.002782614729228684,0.004793477622724262,0.0018013509511259527,0.0012803166991432625,0.002593465468295171,0.009630250259083232,0.009850484364953777
NLI,0.00021105548057087344,0.0001775449476797361,0.0002081277801012356,0.00021348228221354737,0.00018369378332817827,0.00015414090895542003,0.0002071412406680769,0.0002557350288667492,0.0002708007983385978,0.0002695534782697446,0.00026266290436366673,0.0002858581029368901,0.0002982027870334136,0.00033197967918961166,0.0003713788174131795,0.0005961747593396982,0.0006950424868208618,0.002710301871708634,0.005392650851973759,0.028360262872755483,0.0209737161696707,0.004680679759219722,0.0014047188834493353,0.0026003844455299314
