,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0012889384381217614,0.0015011205610767557,0.0014799029182699095,0.0016425799921235182,0.0016501014449545025,0.0016415560187213742,0.0030827535182261574,0.003278067326422239,0.0025669944319525006,0.026135751211855372,0.008343857353129024,0.002534004579403494
CR,0.003873355843310458,0.003928618951788703,0.004045082100177694,0.004066251677258285,0.005052511670034158,0.0075822301652699806,0.0008505146174638609,0.00949203025647385,0.008927918376577186,0.013779735719817927,0.0015393070646316312,0.003939050097368146
SUBJ,0.0029269937139252606,0.002951171885844612,0.002982170804529545,0.0035827562000109044,0.004668435219806026,0.005240809493522979,0.0021373135513573904,0.009501021924102458,0.001534046680695063,0.014013353419712667,0.0026041151806225392,0.0018619722811146677
MPQA,0.0008287800768222549,0.003851765163720293,0.004202823518708964,0.003541480851528801,0.0020214475338914475,0.002225013174303959,0.01231130725969137,0.013867085562452947,0.0015865097192678964,0.0020421555348498874,0.003982063687523281,0.004896665415167624
SST2,0.0030867111845339686,0.0005100141761710483,0.0002890138370971182,0.0009201482457662209,0.0005065334140392116,0.0018558421597522816,0.004362034724918123,0.007352997216189053,0.006584685410164298,0.019692493832166244,0.001135055804371976,0.00257821540481114
TREC,0.0060874633743284836,0.006383630393009947,0.006821106958857603,0.00931447682216633,0.0023285609130379963,0.011872844724520656,0.018531755491781605,0.0230665750489328,0.007612982523454287,0.0069725264319183446,0.006510816484176431,0.004782376405378811
MRPC,0.0030428259376259334,0.003465764436872737,0.003757580207567533,0.003843805015971147,0.0038483479339320972,0.003003801517400128,0.0024330852239798136,0.0011065405088319963,0.001072407497917731,0.004182759347258298,0.015279501345919013,0.004276271373769563
NLI,0.0012527193520172897,0.0012267581784208704,0.0011042139365994256,0.0010685381714386124,0.0010673061528521754,0.001023214759692174,0.0010645576679537872,0.0015275711461208191,0.002427150320332301,0.024510244843119228,0.05066222426430779,0.015010036528270194
