,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.011894939710668403,0.01753632783087329,0.025073262546128225,0.035478514509333293,0.056604914791820574,0.044288440672663215,0.03860245808283945,0.01133829962778828,0.054614344255911294,0.05670852246790543,0.053408968100279335,0.0480702556771652
CR,0.005167593258775274,0.004272375792112925,0.0050735068045899565,0.005721803480844249,0.009301279959100952,0.009056114191542992,0.006909278994498666,0.013881271550181143,0.04071605625280389,0.04210873940581794,0.038480659362698885,0.03425689340183364
SUBJ,0.004947067828399748,0.005084163238956586,0.0065325364834355965,0.0040380711357575665,0.003995897867798319,0.0049529035221810075,0.006234217745980212,0.009414025878373119,0.01353357578117036,0.014767829990966857,0.01735956203286372,0.01715213595410299
MPQA,0.0200668045457821,0.011469941941266283,0.009121895299289681,0.007371603118044237,0.007780684878187547,0.005421283846043975,0.004822826810745098,0.004020401176241531,0.011171733990592563,0.004800325580947131,0.003864633519984647,0.005241384270227197
SST2,0.03822670807373346,0.042448196406438404,0.035870262027184636,0.018004891748419967,0.0425224987961173,0.015332151293772052,0.009496185887879168,0.07746768505213263,0.07101339249433179,0.017255164781992155,0.06138414982551963,0.050378929877402744
TREC,0.01154351419635507,0.009908042783641234,0.008649099908465917,0.008813046529135794,0.009092026261125947,0.010420162557608264,0.01174389235655704,0.013550931941614195,0.015331526104500066,0.014077934703355577,0.012724288470531598,0.0112006174532478
MRPC,0.01616628980580869,0.014310153113782968,0.01999222838696461,0.02777279758804934,0.02603766478877766,0.030129541375559923,0.03228004873960195,0.029524429483090052,0.027926416596912147,0.028012168993798655,0.025067657781448715,0.03076398142594151
NLI,0.006539630798550359,0.016576291958287394,0.019158359251658773,0.022691734657943146,0.08002646499585142,0.021383163096840133,0.012046885494295511,0.01868096096432271,0.03594454676488145,0.020684306676705753,0.038738168289605066,0.01899603362325445
