Task,Acc (Mean ± Std)
MR,0.8152 ± 0.0039
CR,0.8641 ± 0.0046
SUBJ,0.9498 ± 0.0008
MPQA,0.8887 ± 0.0012
SST2,0.8702 ± 0.0028
TREC,0.9296 ± 0.0032
MRPC,0.7330 ± 0.0042
NLI,0.5728 ± 0.0019
