,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.004472382567025446,0.004533926584537305,0.004714890732710906,0.0048416763232769465,0.006621048337572691,0.00487663418723714,0.011272908594320705,0.014994613328378582,0.0090209002263701,0.004421128562963788,0.0053128160044802085,0.00452305020049695
CR,0.01289110086696173,0.013050783866867938,0.01338877228751074,0.014054381450921558,0.019649612603583604,0.013276453235872714,0.022071322131655368,0.020620636827363238,0.01888505843872656,0.013479836525854825,0.003000485059725178,0.01250302231013377
SUBJ,0.0023887817672691458,0.0023496900163835063,0.002510473388724214,0.0024623906707726883,0.0032350406812994177,0.002147423079978492,0.007055019362940562,0.004393540862408198,0.0038950616872006033,0.0007616519346521387,0.0018309037789487634,0.002507940356530835
MPQA,0.0046795458592034656,0.0057724934286051115,0.007929106551011615,0.010091167306221014,0.004767611520715084,0.012438451582187463,0.01819520207267114,0.01538324201900736,0.004309350927470795,0.002720782330222516,0.007334914914919199,0.007926642769883975
SST2,0.011384324253134558,0.0006860880128474385,0.0008188327343614478,0.0024574178124531477,0.005935681683272423,0.00996877324047093,0.04571451463091003,0.012614536838500993,0.008427410950098711,0.008203348775424505,0.005487186428978074,0.002963501907874331
TREC,0.004789701418534456,0.004966970918855687,0.005435313509608966,0.007454124700976392,0.0012224900462362988,0.004744310184344387,0.005852523449038973,0.006706925009072607,0.007150939163041266,0.005299091928211584,0.0045062780684445155,0.004731217165403527
MRPC,0.004781208948824574,0.004127507149699004,0.00533724986536649,0.004928878302200603,0.0059224224508357,0.00341433896005407,0.0058309858811804016,0.0064110937079376274,0.006797770030983695,0.007875809157616855,0.004026611409866991,0.006508444900512103
NLI,0.0013254968245329445,0.0013602200198819057,0.0013147170650346452,0.0012454920524606187,0.0017907281051241324,0.002701898803498366,0.00793900651615327,0.035952059082310965,0.01271981506800257,0.006869043779914278,0.0026643678545777774,0.001207089222515031
