Task,Acc (Mean ± Std)
MR,0.8281 ± 0.0056
CR,0.6371 ± 0.0000
SUBJ,0.9217 ± 0.0016
MPQA,0.8295 ± 0.0107
SST2,0.8615 ± 0.0048
TREC,0.4140 ± 0.0121
MRPC,0.6649 ± 0.0000
NLI,0.6608 ± 0.0083
