,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.017878446059484236,0.023195376667735156,0.049960613307430075,0.02395795510660807,0.02634323721144764,0.016078279885258073,0.03775218888032508,0.038803895700277626,0.13717076599495664,0.038217377182658274,0.16460126298074226,0.05493814543394317
CR,0.008226942834008145,0.0024400548642475165,0.007651275457544237,0.007842997110312281,0.007723078777219215,0.006421495692887586,0.006449289863179667,0.007549657046345893,0.00421946845667658,0.008328309137368364,0.0033905615453923197,0.003448332157887971
SUBJ,0.04468471292622368,0.03696735102448556,0.04939424870091288,0.010483230480658825,0.014138606920470777,0.009203473242433624,0.01784968892657469,0.011817709720607679,0.028446917562808597,0.012923264078800536,0.1265080372754682,0.06616031622919416
MPQA,0.0107819372844208,0.005562926247586248,0.01544040658515524,0.009976144622458301,0.011709675221508831,0.011520417733487333,0.011977133677864042,0.012382381019900354,0.01832089134265759,0.014631864902573278,0.10458205612004139,0.10480365141011758
SST2,0.014588754654845696,0.04591195202406278,0.01746173114088632,0.07414602864769948,0.16925180069238044,0.0876598572117937,0.20383178243764127,0.2342265669719796,1.5078004630801616,0.31294428291979093,0.033085165044835246,0.11423694757071674
TREC,0.00702186931038086,0.00635528183380382,0.019350926072293433,0.005853485712665696,0.005524187863382975,0.005357244732782708,0.004296477352537084,0.003959660768910731,0.00817524472872349,0.0049671738758102725,0.021933752118732816,0.014822887955091815
MRPC,0.008932250578910688,0.0023116811815673518,0.006672387521668776,0.007867028584118455,0.007326193412251912,0.005471732887345649,0.005255694373360647,0.006820563208103087,0.003179415424665357,0.008335825580150343,0.0025151371097696116,0.003990210314302739
NLI,0.009829629831962668,0.019494321424298803,0.03198031897174717,0.07596343736070824,0.04451022836700908,0.05042649297972935,0.04239102885524192,0.028713197367899047,0.0830846859240072,0.03970130729713137,0.25077895499995095,0.15879394832193924
