Task,Acc (Mean ± Std)
MR,0.8290 ± 0.0008
CR,0.8795 ± 0.0047
SUBJ,0.9451 ± 0.0009
MPQA,0.8776 ± 0.0012
SST2,0.8734 ± 0.0016
TREC,0.9244 ± 0.0092
MRPC,0.7254 ± 0.0009
NLI,0.5747 ± 0.0028
