,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.019025736438611676,0.029664701406649164,0.011169696942948443,0.007395973147402389,0.010636989861119946,0.021651070231770955,0.01547466740221219,0.02895225497435266,0.007981544155883284,0.005459230480191662,0.015176443977493242,0.026178346391691806
CR,0.04330793329335541,0.01860936666620622,0.019364101033124824,0.008642175231797491,0.0192338803468184,0.03567295630557076,0.02786685190611796,0.036861335889762835,0.01750883789996566,0.04088510306021413,0.05334885117037839,0.06692119216980688
SUBJ,0.011849824606412748,0.02272873582910379,0.0189422827076639,0.019204601877796615,0.015102978811231153,0.007863473412134253,0.0050022748303798535,0.005398961572213022,0.008528227679401914,0.010773216629696046,0.014419322524535207,0.018523966951863438
MPQA,0.01932476783668099,0.013409226034512707,0.009597477930980617,0.013484013855386745,0.016718329429789926,0.00984830525312762,0.003421471502830138,0.006818342788981197,0.00599782123421264,0.00622013921439415,0.015827716643286915,0.020017902236534244
SST2,0.019522767748743283,0.04041661264719023,0.02780413184213771,0.015890089434530352,0.03765743866881133,0.004654327984393216,0.02192624398234776,0.081988927211546,0.02196934077743622,0.07443865075735932,0.02454610943686535,0.04063691077299532
TREC,0.01939266433108271,0.009464886752255446,0.019045314181935332,0.019733925959429813,0.016106205984350357,0.013350449019029155,0.02680241076124043,0.02182858907071754,0.04492461517416774,0.0435937389395994,0.05715050021159761,0.0579837810289433
MRPC,0.018114222705207968,0.012745427969352373,0.0076194777778393254,0.01033986990737611,0.01375860858578744,0.02559288126895926,0.02417834317923412,0.011198750948977577,0.011506847602984413,0.011648287292855204,0.018656075751672958,0.018220114004166805
NLI,0.015024204027534146,0.021147796146953637,0.02515598786230129,0.02341448997895478,0.04993870221061891,0.014393491121129193,0.008944472530889388,0.030856499108191496,0.012049730377271983,0.027943555021892753,0.014486011380033673,0.020708735505686086
