,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.03379143964673909,0.020616303600301335,0.04454423180781148,0.014657717238810146,0.011246569766703327,0.009647300274087688,0.021100160483564463,0.036745176949297895,0.14666238711655818,0.05222029598295489,0.044515942250985305,0.05856152750324037
CR,0.005507754767330105,0.0033427045392777923,0.003166728275977005,0.009485725317758377,0.008968835093010639,0.008387822918080764,0.008235861649776821,0.008820743772720432,0.008179566452180799,0.00930400519767154,0.0019604522329529804,0.004539817398352667
SUBJ,0.057637659938629425,0.014677582956065012,0.01764490019667263,0.011588929942411992,0.02166453287263092,0.013166488347327795,0.01506794464262427,0.019399115073260167,0.023615462751233985,0.023603457042810194,0.016835703466054498,0.017751617299635977
MPQA,0.00938680950826593,0.007986322897967553,0.015936724706526424,0.0034454734905119033,0.008860023672553017,0.011218577145102741,0.0107056684201083,0.01051018200413793,0.025336147406898848,0.019237795662114466,0.0141974026428686,0.04356310517992927
SST2,0.009627467998179816,0.06588104387716705,0.010076961179680412,0.06139654190019493,0.09740810324747103,0.09304951905046852,0.06119096613702108,0.03501293703621895,0.12781166972677582,0.0925130268090453,0.012241847674023424,0.03584052013765227
TREC,0.07859108000383991,0.03317821351105853,0.16699757962544284,0.01629455229950535,0.017520566488853966,0.013525073244449192,0.010850338418063198,0.011097363506827738,0.043740801783385956,0.019312790482539435,0.22252155601479096,0.18677288746267326
MRPC,0.004873379009425585,0.00468537708674561,0.0071940064653593,0.011075918998992866,0.010268558342142263,0.009739587194204915,0.009529090316677409,0.010155612445646039,0.009463474291183077,0.010940841088267502,0.003002182883080587,0.004707382567743385
NLI,0.02476006375744665,0.026722706496905713,0.020913594261591496,0.0559119237579755,0.04558661069657792,0.06055890965337233,0.026496735445713078,0.011508167456199458,0.11196780268759265,0.04678831018786736,0.017521806954889464,0.02537304319707963
