Task,Acc (Mean ± Std)
MR,0.8227 ± 0.0056
CR,0.6371 ± 0.0000
SUBJ,0.9174 ± 0.0015
MPQA,0.8461 ± 0.0062
SST2,0.8573 ± 0.0069
TREC,0.5108 ± 0.0868
MRPC,0.6649 ± 0.0000
NLI,0.6621 ± 0.0078
