,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0015359218387873688,0.0017241743142609191,0.0018814146754751258,0.0020372056581882637,0.0022087222205847017,0.0020467365504839015,0.0005888463430404596,0.0022230466653619697,0.0028903707298270874,0.003232337325611829,0.0025326845702201934,0.0002247402196500595
CR,0.0007467320960198488,0.000792539416027688,0.0008412201093913572,0.0008807200411168576,0.0009770557174034857,0.00030882157162617053,0.0008292463634185087,0.0009910218391205555,0.001089753983578404,0.0010898118150367794,0.0009047411423524559,0.0003570069514668489
SUBJ,0.0021921187346066336,0.002362326835094824,0.0026439249219738048,0.002651863619975246,0.0010207671519609491,0.0009700045806697296,0.0019688777808071775,0.002352414712880752,0.0027566129144631283,0.0029871541013855567,0.00018000784754035556,0.0003750559353154114
MPQA,1.5801950578308965e-05,0.00016191200241699215,0.00021437201508139645,9.586128290991333e-05,7.911880400400246e-05,0.00014583193933686818,0.00023189984290523027,0.00021401490717536722,5.804606057747615e-05,0.00013869534414123795,0.00022060816175194283,7.981935442077031e-05
SST2,0.0027894570817521597,0.003500294734535865,0.003823129635595579,0.003911424461018657,0.00429734693652886,0.003945124739965479,0.0005600095338755701,0.003687579692190327,0.006294397404928189,0.009061032680601034,0.0059129328234919796,0.00214988802185908
TREC,0.0012268115729024889,0.0012614718719346594,0.001327535048114505,0.00014329627397965762,0.0012407451691234153,0.00153802883479154,0.0016999507776446136,0.0017923126180020158,0.0005761520479497264,0.0006916057892713959,0.0012339060234691475,0.0010052336481547312
MRPC,0.00010662616054435569,8.97155885487167e-05,0.00015419284703996266,0.00020023704150894488,0.00017065487500287176,0.00025570263663197355,0.00015458694459940614,0.0001656660601861501,0.00017749730598856303,0.00013109540161027332,0.00013046316673463628,0.0003638828520587827
NLI,0.006445188912832442,0.007551366081457758,0.007801577224943218,0.008439159978038043,0.008453736596408454,0.008509568331929139,0.008214357631502649,0.0096011029571311,0.004310620433554937,0.020270098416787577,0.033477152312413654,0.01539927045432207
