Task,Acc (Mean ± Std)
MR,0.8573 ± 0.0041
CR,0.8903 ± 0.0069
SUBJ,0.9488 ± 0.0041
MPQA,0.8987 ± 0.0011
SST2,0.9105 ± 0.0019
TREC,0.9479 ± 0.0051
MRPC,0.7523 ± 0.0037
NLI,0.7159 ± 0.0118
