,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
SICKRelatedness,0.0009346387102669848,0.0012927930196534286,0.0011457130774087654,0.0010155339180895676,0.0003840757658558868,0.00018947872644426025,0.0003210842481642352,0.0003166399572735933,0.00041369897393894864,0.0005146910148106096,0.0015768089580946159,0.0008505502730941101
STSBenchmark,0.001771814595378824,0.000724309033360196,0.0009576090488110439,0.0010220042628722595,0.0008389589856475614,0.00021753292250063533,0.0014925663933037338,0.0012226277850352482,0.0011614984356185089,0.0002407863387805048,0.002531828322960296,0.0029209624842195
