,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0021889366179408624,0.0027527517593612023,0.002781462469150332,0.0022980230096946216,0.0033744894780086553,0.0038463607464561175,0.005239713485301654,0.005192017630791385,0.0035086994593200088,0.00719850454986025,0.011195462846267578,0.005905672057048993
CR,0.00683152662955877,0.007187239474421274,0.006840872132530729,0.00597128669070286,0.006264757590826401,0.007968069105216186,0.009663175523079154,0.009681414625068108,0.01384889043601255,0.01717033311890616,0.016860483366876358,0.012448169595874345
SUBJ,0.004351249082942282,0.004369671137103016,0.003981853282337687,0.003999218427614965,0.004097284959610147,0.003879533871027481,0.0017286671586772223,0.001283436413704136,0.003969833678078563,0.006724690918084482,0.007931549043401076,0.007837771712552734
MPQA,0.0013700066104892455,0.0004126177048628025,0.0021782138685098387,0.0022560744320001998,0.0028800156836877736,0.0036986689521521674,0.001975768352134117,0.0011814314345388757,0.003873112696908415,0.005292405612271105,0.005540567627254721,0.0029845884392700763
SST2,0.03110729699784097,0.012433792655899641,0.0005044906425050223,0.00600464413712712,0.008617854572471552,0.008770563401033651,0.011050899065549279,0.0129559042667675,0.013384065978528849,0.008778861742306519,0.006133692643340852,0.006325143741849061
TREC,0.00866911787121954,0.00869334604315255,0.008771520841024907,0.00907419741739145,0.009187878514515023,0.010320385979533749,0.006654273402766181,0.009487711354801344,0.018748476196544232,0.017356914312641476,0.012181977337533087,0.009608073153434914
MRPC,0.004255380480351795,0.0041632434089520125,0.004285691504464217,0.0023732040915825483,0.002259410570404859,0.0038733101113113282,0.004594199621462925,0.0031550947955991965,0.0022726841818363325,0.003060163206292867,0.002218974162218663,0.0012389596919036348
NLI,0.002802562482823383,0.0024897438524280006,0.0029154183486404775,0.0028520197431537923,0.002796551325787337,0.0026577121497954946,0.0019345441688443236,0.0057911328349000025,0.014863626736641133,0.0019109429472430521,0.003264593573480487,0.0027611441206356487
