Task,Acc (Mean ± Std)
MR,0.8280 ± 0.0056
CR,0.8797 ± 0.0087
SUBJ,0.9458 ± 0.0007
MPQA,0.8752 ± 0.0007
SST2,0.8690 ± 0.0020
TREC,0.9184 ± 0.0105
MRPC,0.7253 ± 0.0043
NLI,0.5741 ± 0.0037
