,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.011884739325786143,0.022202227503414492,0.018115581450628932,0.036388826456312535,0.04051865662327192,0.052983614174037796,0.05955341098298647,0.07595348760476765,0.009085242131324592,0.01019070075968012,0.047580368900402834,0.06129731300971409
CR,0.03782516851423229,0.01431052694982867,0.016597084322832106,0.009213436526636821,0.01762865553425552,0.04059272580038724,0.03697398749117729,0.04693939723041339,0.019509882571191645,0.04318196331511536,0.05526409063773212,0.06945636536202018
SUBJ,0.02578895215383408,0.015177121588931003,0.015150016751734517,0.01646849606640155,0.012973366372396586,0.007911557615023143,0.007736229102087872,0.008411940843827587,0.009726520011877907,0.01262479421960839,0.018894515163768878,0.022545999621159055
MPQA,0.02485135014527517,0.005723607364106299,0.013775844529168283,0.02641439718602353,0.014505223126427828,0.01009377837051302,0.007018660504075096,0.004172388069076256,0.003783211103090636,0.00582228887967517,0.018474048647688143,0.018717036096442503
SST2,0.016156357556400297,0.039075944590496355,0.02875098193344329,0.03987991849547612,0.04747101152182151,0.012117603397989798,0.022049880696336153,0.1143519776707048,0.0223018531644959,0.0754750688783704,0.016093268645635397,0.05375555476129184
TREC,0.013861827913300368,0.016113007772314326,0.015301955104393064,0.014377717121455661,0.005179612048487889,0.022691873913575782,0.03198637598086275,0.030798340352535248,0.04103864677192283,0.041963855590214656,0.04814109792714352,0.047481645922460354
MRPC,0.0208019516979387,0.007259715233177317,0.011201764286384856,0.006757075492637923,0.007687882263928026,0.017937547834114734,0.017568578013287133,0.011381239146444268,0.012539634370534278,0.009186928035631252,0.012183893054379688,0.015505227590333197
NLI,0.03167029545515066,0.025593551646646374,0.014724526968463176,0.01874749250056155,0.059739054239085966,0.017989402847088318,0.015419394847685243,0.05543205881480003,0.005770703911673045,0.02048167942409922,0.007750610374246533,0.022011455434459343
