,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.005506139019303217,0.01604206447268379,0.016024948150759846,0.01710988012248336,0.007235625797377902,0.010013685012674516,0.015323082196624923,0.01182585907582677,0.007203941784639836,0.004209306662302504,0.011877533104843118,0.06555579480930399
CR,0.000919566050579075,0.0005525784352132701,0.0005289370372549971,0.0002927065526474364,0.0004490703597604404,0.0004834585898861641,0.0006142354896355831,0.0007480300958557711,0.0004310351029415949,0.0004921202386045738,0.0009286561844209367,0.0005047640351268404
SUBJ,0.0031881761438770843,0.0022445542128902997,0.002488389807017242,0.0023316636634108296,0.01655609811671927,0.006984546370499662,0.0031977200325268244,0.004684752997653131,0.004313319466685787,0.0028033528402837474,0.004007385983847355,0.049407515702686845
MPQA,0.0013965452783988163,0.000632262741091315,0.0002839715967349497,0.0005363635627906963,0.0012914328311250704,0.0005471846812422881,0.0005502917586899176,0.0005990743007838964,0.0010985522900388747,0.0008984044575321215,0.0007727697613404462,0.0010322676595330136
SST2,0.012837694241301713,0.0010135537294055255,0.001244793331606115,0.0012048934684591875,0.0016823101993840555,0.001525405020069989,0.0012261030179685113,0.0016765912511432861,0.0022594663067012975,0.0012169301137295615,0.0034473987808339617,0.02578692623351077
TREC,0.030598682174266856,0.010507689280600096,0.01091468640505458,0.010743621716777011,0.019752625805398678,0.0036235740346332993,0.009364675249229806,0.007171439407567123,0.009062979175746251,0.005639877524721078,0.00500858649464859,0.01826259907745422
MRPC,0.0008644258878282884,0.00045964595884227376,0.00015710490739225972,0.0009705979060440218,0.0008508548271596243,0.0007981244987302422,0.0006761330317382455,0.000571847322070848,0.0004814984828890902,0.0006324952273803144,0.0008008603873141323,0.000766589282951971
NLI,8.697378154847875e-05,0.00011785086127079571,4.505283682513667e-05,6.707714843494348e-05,0.004874427486978451,0.002752023457947378,0.0008932795762398234,0.0003618530517601562,0.0009104153343831377,0.0006306709559141504,8.643777518028322e-05,0.010422764291653508
