Task,Acc (Mean ± Std)
MR,0.8472 ± 0.0056
CR,0.8964 ± 0.0026
SUBJ,0.9526 ± 0.0013
MPQA,0.8796 ± 0.0010
SST2,0.8931 ± 0.0034
TREC,0.9328 ± 0.0070
MRPC,0.7630 ± 0.0054
NLI,0.6199 ± 0.0018
