,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.032880554290658025,0.06178642132088409,0.0525858059557506,0.04688047249653043,0.02492936823910787,0.02000184508103423,0.0461472167115729,0.05598933929382525,0.040448317313674174,0.03280086180652281,0.02391303191909779,0.031818937574860054
CR,0.007799768099768016,0.011576912877303395,0.007899558766016938,0.0032304379476617703,0.013789012352733403,0.025879679452676108,0.0299236752293401,0.02788207316104906,0.026866196695432023,0.024222337110304876,0.023033332427108998,0.02425840590915253
SUBJ,0.01177398857483866,0.010147789958416264,0.004762995048439469,0.0030948401578142913,0.005025990626137334,0.010067048830255075,0.01858902808202357,0.017436592417557267,0.017518542933928995,0.016151491101622135,0.017796263131615933,0.02020286912578755
MPQA,0.01570078869336737,0.009603728256676996,0.006282067885254511,0.00517352908477443,0.006182439044198297,0.01157385841427625,0.014747962793175482,0.01224675478302609,0.008812758266737266,0.008591401531683397,0.008308255985555882,0.006399068567609985
SST2,0.029291153931026905,0.034263469782834385,0.03123900380403988,0.045610090907900004,0.04080379232152366,0.03207756835391045,0.0550610946081255,0.015622891267877415,0.014359697758392655,0.02839862916084861,0.06558036028430966,0.03092805416474597
TREC,0.03465529527157257,0.029485265297698068,0.02949896080413927,0.030584108871412476,0.03148122980799599,0.03237187443419492,0.03278952117079974,0.0334000711372037,0.033546579050588214,0.033718102907057304,0.031236011227403857,0.029973448587137123
MRPC,0.0165499660900626,0.018766046995410787,0.0054838779656789,0.017034861448968472,0.02062390925683882,0.029725856962224628,0.03780354960120179,0.033031166099886905,0.028653415726493117,0.028677968690316424,0.024923966211766724,0.03180130214305607
NLI,0.017439125813761232,0.009170781809516524,0.01135899448324115,0.07606804380254778,0.05179038730655185,0.015786793419529505,0.007948108456551533,0.02890450258759659,0.02384262323665568,0.03396949699309476,0.10463585768927428,0.08006630538307179
